+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| 9     | 0   | 7   | 0   | 2   | 0   | GET    | /api/admin/tenants/billing                    | 3.200 | 23.764 | 120.196 | 13.355 | 23.764 | 23.764 | 23.764 | 6.167  | 0.000     | 1551.000  | 10592.000  | 1176.889  |
| 35    | 0   | 30  | 0   | 5   | 0   | GET    | /api/player/competition/9fa52d56/ranking      | 0.024 | 6.812  | 112.756 | 3.222  | 6.696  | 6.784  | 6.812  | 3.100  | 0.000     | 13638.000 | 406721.000 | 11620.600 |
| 19    | 0   | 19  | 0   | 0   | 0   | GET    | /api/player/competition/9fa531a2/ranking      | 1.008 | 9.792  | 111.700 | 5.879  | 9.684  | 9.792  | 9.792  | 3.812  | 14016.000 | 14017.000 | 266319.000 | 14016.789 |
| 30    | 0   | 29  | 0   | 1   | 0   | GET    | /api/player/competition/9fa5278b/ranking      | 0.052 | 9.232  | 108.532 | 3.618  | 8.208  | 8.284  | 9.232  | 3.626  | 0.000     | 14473.000 | 417195.000 | 13906.500 |
| 34    | 0   | 31  | 0   | 3   | 0   | GET    | /api/player/competition/9fa52aaa/ranking      | 0.024 | 6.952  | 107.964 | 3.175  | 5.932  | 6.724  | 6.952  | 2.857  | 0.000     | 13532.000 | 419396.000 | 12335.176 |
| 26    | 0   | 25  | 0   | 1   | 0   | GET    | /api/player/competition/9fa5308f/ranking      | 0.024 | 6.980  | 104.384 | 4.015  | 6.940  | 6.976  | 6.980  | 3.257  | 0.000     | 13620.000 | 340386.000 | 13091.769 |
| 20    | 0   | 19  | 0   | 1   | 0   | GET    | /api/player/competition/9fa5347f/ranking      | 0.036 | 6.956  | 83.036  | 4.152  | 6.868  | 6.876  | 6.956  | 3.191  | 0.000     | 13667.000 | 259669.000 | 12983.450 |
| 17    | 0   | 16  | 0   | 1   | 0   | GET    | /api/player/competition/9fa53737/ranking      | 0.052 | 6.932  | 77.492  | 4.558  | 6.916  | 6.932  | 6.932  | 3.061  | 0.000     | 13676.000 | 218816.000 | 12871.529 |
| 19    | 0   | 19  | 0   | 0   | 0   | GET    | /api/player/competition/9fa53988/ranking      | 0.028 | 7.028  | 76.772  | 4.041  | 7.012  | 7.028  | 7.028  | 3.389  | 13580.000 | 13686.000 | 259791.000 | 13673.211 |
